image_name,tags
train_20674,agriculture artisinal_mine bare_ground clear primary road
train_23966,agriculture artisinal_mine bare_ground clear primary road water
train_9528,agriculture artisinal_mine clear conventional_mine cultivation habitation primary road water
train_185,agriculture artisinal_mine clear cultivation habitation primary road water
train_38796,agriculture artisinal_mine clear cultivation habitation primary water
train_35451,agriculture artisinal_mine clear cultivation primary road water
train_7582,agriculture artisinal_mine clear cultivation primary water
train_9673,agriculture artisinal_mine clear habitation primary road water
train_15754,agriculture artisinal_mine clear habitation road water
train_33572,agriculture artisinal_mine clear primary
train_4388,agriculture artisinal_mine clear primary road
train_25045,agriculture artisinal_mine clear primary road water
train_20381,agriculture artisinal_mine clear primary selective_logging water
train_38142,agriculture artisinal_mine clear primary water
train_7544,agriculture artisinal_mine clear road water
train_30267,agriculture artisinal_mine partly_cloudy primary water
train_8944,agriculture bare_ground blooming cultivation partly_cloudy primary selective_logging
train_12658,agriculture bare_ground clear
train_5762,agriculture bare_ground clear conventional_mine habitation primary road
train_23483,agriculture bare_ground clear conventional_mine habitation primary road water
train_15526,agriculture bare_ground clear conventional_mine habitation road
train_298,agriculture bare_ground clear cultivation habitation primary
train_13163,agriculture bare_ground clear cultivation habitation primary road
train_19007,agriculture bare_ground clear cultivation habitation primary road selective_logging
train_29844,agriculture bare_ground clear cultivation habitation primary road water
train_34956,agriculture bare_ground clear cultivation habitation primary water
train_40184,agriculture bare_ground clear cultivation primary
train_9778,agriculture bare_ground clear cultivation primary road
train_14453,agriculture bare_ground clear cultivation primary road water
train_39742,agriculture bare_ground clear cultivation primary selective_logging water
train_39391,agriculture bare_ground clear cultivation primary slash_burn
train_471,agriculture bare_ground clear cultivation primary water
train_33649,agriculture bare_ground clear cultivation road
train_13675,agriculture bare_ground clear habitation
train_31673,agriculture bare_ground clear habitation primary
train_14294,agriculture bare_ground clear habitation primary road
train_27514,agriculture bare_ground clear habitation primary road slash_burn
train_7069,agriculture bare_ground clear habitation primary road water
train_33890,agriculture bare_ground clear habitation primary water
train_34039,agriculture bare_ground clear habitation road
train_7995,agriculture bare_ground clear primary
train_31840,agriculture bare_ground clear primary road
train_22345,agriculture bare_ground clear primary road water
train_17191,agriculture bare_ground clear primary water
train_31578,agriculture bare_ground clear road
train_40022,agriculture bare_ground clear water
train_2732,agriculture bare_ground cultivation haze primary water
train_32446,agriculture bare_ground habitation haze primary road
train_33664,agriculture bare_ground habitation partly_cloudy primary
train_14461,agriculture bare_ground habitation partly_cloudy primary road
train_6835,agriculture bare_ground haze
train_30961,agriculture bare_ground haze primary
train_6968,agriculture bare_ground haze primary road
train_28264,agriculture bare_ground partly_cloudy primary
train_32956,agriculture bare_ground partly_cloudy primary road
train_28873,agriculture bare_ground partly_cloudy primary water
train_39758,agriculture blooming clear cultivation habitation primary
train_13799,agriculture blooming clear cultivation primary
train_35037,agriculture blooming clear cultivation primary road
train_11321,agriculture blooming clear cultivation primary selective_logging
train_26714,agriculture blooming clear cultivation primary slash_burn
train_4994,agriculture blooming clear habitation primary road
train_34142,agriculture blooming clear primary
train_19291,agriculture blooming clear primary road
train_597,agriculture blooming clear primary road water
train_34991,agriculture blooming cultivation haze primary
train_9961,agriculture blow_down clear cultivation primary
train_5926,agriculture blow_down clear habitation primary
train_4985,agriculture blow_down clear primary
train_38607,agriculture blow_down partly_cloudy primary
train_8114,agriculture blow_down partly_cloudy primary blow_down
train_27866,agriculture clear
train_31918,agriculture clear conventional_mine cultivation habitation primary
train_27454,agriculture clear conventional_mine cultivation habitation primary road
train_21725,agriculture clear conventional_mine habitation primary road
train_34958,agriculture clear conventional_mine habitation road
train_17125,agriculture clear conventional_mine primary road
train_11046,agriculture clear conventional_mine primary road water
train_25573,agriculture clear conventional_mine primary water
train_12131,agriculture clear cultivation
train_22136,agriculture clear cultivation cultivation habitation primary
train_33629,agriculture clear cultivation cultivation habitation primary road
train_30532,agriculture clear cultivation cultivation habitation primary road slash_burn
train_1465,agriculture clear cultivation cultivation habitation primary road slash_burn water
train_28918,agriculture clear cultivation cultivation habitation primary road water
train_35491,agriculture clear cultivation cultivation habitation primary water
train_9110,agriculture clear cultivation cultivation habitation road water
train_26091,agriculture clear cultivation cultivation primary
train_27054,agriculture clear cultivation cultivation primary road
train_26403,agriculture clear cultivation cultivation primary road water
train_33864,agriculture clear cultivation cultivation primary slash_burn
train_16830,agriculture clear cultivation cultivation road
train_31761,agriculture clear cultivation habitation primary
train_27585,agriculture clear cultivation habitation primary conventional_mine
train_24638,agriculture clear cultivation habitation primary road
train_247,agriculture clear cultivation habitation primary road selective_logging
train_39638,agriculture clear cultivation habitation primary road slash_burn
train_15860,agriculture clear cultivation habitation primary road slash_burn water
train_18194,agriculture clear cultivation habitation primary road water
train_9785,agriculture clear cultivation habitation primary selective_logging
train_23894,agriculture clear cultivation habitation primary slash_burn
train_40335,agriculture clear cultivation habitation primary water
train_21727,agriculture clear cultivation habitation road
train_21458,agriculture clear cultivation primary
train_38174,agriculture clear cultivation primary blooming
train_12392,agriculture clear cultivation primary blow_down
train_11384,agriculture clear cultivation primary road
train_10645,agriculture clear cultivation primary road selective_logging
train_32218,agriculture clear cultivation primary road slash_burn
train_31479,agriculture clear cultivation primary road water
train_4571,agriculture clear cultivation primary selective_logging
train_6368,agriculture clear cultivation primary selective_logging water
train_38995,agriculture clear cultivation primary slash_burn
train_17653,agriculture clear cultivation primary slash_burn water
train_3906,agriculture clear cultivation primary water
train_19071,agriculture clear cultivation road
train_30363,agriculture clear cultivation road water
train_39077,agriculture clear habitation
train_4582,agriculture clear habitation primary
train_29714,agriculture clear habitation primary road
train_38583,agriculture clear habitation primary road blow_down
train_33406,agriculture clear habitation primary road selective_logging
train_33927,agriculture clear habitation primary road selective_logging water
train_8059,agriculture clear habitation primary road slash_burn
train_16458,agriculture clear habitation primary road water
train_19002,agriculture clear habitation primary road water conventional_mine
train_38594,agriculture clear habitation primary slash_burn
train_37825,agriculture clear habitation primary slash_burn water
train_28321,agriculture clear habitation primary water
train_6250,agriculture clear habitation road
train_37200,agriculture clear habitation road water
train_14063,agriculture clear primary
train_10230,agriculture clear primary conventional_mine
train_24836,agriculture clear primary road
train_33582,agriculture clear primary road conventional_mine
train_19265,agriculture clear primary road selective_logging
train_30208,agriculture clear primary road slash_burn
train_4646,agriculture clear primary road slash_burn water
train_25115,agriculture clear primary road water
train_29249,agriculture clear primary road water conventional_mine
train_29642,agriculture clear primary selective_logging
train_12189,agriculture clear primary slash_burn
train_10,agriculture clear primary slash_burn water
train_4257,agriculture clear primary water
train_28622,agriculture clear primary water conventional_mine
train_34763,agriculture clear road
train_10460,agriculture clear road water
train_38202,agriculture clear water
train_27961,agriculture conventional_mine habitation partly_cloudy primary road
train_22931,agriculture conventional_mine partly_cloudy primary
train_13748,agriculture cultivation cultivation habitation partly_cloudy primary road
train_23952,agriculture cultivation cultivation habitation partly_cloudy primary road water
train_2084,agriculture cultivation cultivation haze primary road
train_9259,agriculture cultivation cultivation partly_cloudy primary
train_19902,agriculture cultivation cultivation partly_cloudy primary road
train_39980,agriculture cultivation cultivation partly_cloudy primary water
train_6412,agriculture cultivation habitation haze primary
train_23279,agriculture cultivation habitation haze primary road
train_24868,agriculture cultivation habitation haze primary road water
train_22029,agriculture cultivation habitation haze primary water
train_28763,agriculture cultivation habitation partly_cloudy primary
train_24288,agriculture cultivation habitation partly_cloudy primary road
train_10880,agriculture cultivation habitation partly_cloudy primary road water
train_31038,agriculture cultivation habitation partly_cloudy primary slash_burn
train_22122,agriculture cultivation habitation partly_cloudy primary water
train_7311,agriculture cultivation haze primary
train_9490,agriculture cultivation haze primary road
train_5174,agriculture cultivation haze primary road water
train_12451,agriculture cultivation haze primary water
train_27725,agriculture cultivation partly_cloudy
train_2808,agriculture cultivation partly_cloudy primary
train_13076,agriculture cultivation partly_cloudy primary road
train_28541,agriculture cultivation partly_cloudy primary road selective_logging
train_22552,agriculture cultivation partly_cloudy primary road water
train_3044,agriculture cultivation partly_cloudy primary selective_logging
train_12661,agriculture cultivation partly_cloudy primary slash_burn
train_3556,agriculture cultivation partly_cloudy primary water
train_21548,agriculture habitation haze primary
train_28155,agriculture habitation haze primary road
train_24823,agriculture habitation haze primary road water
train_3673,agriculture habitation haze primary water
train_13103,agriculture habitation haze road
train_10199,agriculture habitation partly_cloudy primary
train_31306,agriculture habitation partly_cloudy primary road
train_38046,agriculture habitation partly_cloudy primary road water
train_33654,agriculture habitation partly_cloudy primary road water conventional_mine
train_6329,agriculture habitation partly_cloudy primary water
train_39120,agriculture habitation partly_cloudy road
train_33329,agriculture haze
train_24508,agriculture haze primary
train_37436,agriculture haze primary road
train_10653,agriculture haze primary road selective_logging
train_21263,agriculture haze primary road water
train_38681,agriculture haze primary water
train_3235,agriculture haze road
train_3445,agriculture haze water
train_14791,agriculture partly_cloudy
train_19705,agriculture partly_cloudy primary
train_4497,agriculture partly_cloudy primary blow_down
train_1635,agriculture partly_cloudy primary road
train_40455,agriculture partly_cloudy primary road conventional_mine
train_4006,agriculture partly_cloudy primary road selective_logging
train_7967,agriculture partly_cloudy primary road slash_burn
train_14321,agriculture partly_cloudy primary road water
train_35331,agriculture partly_cloudy primary selective_logging
train_35990,agriculture partly_cloudy primary slash_burn
train_34847,agriculture partly_cloudy primary water
train_32344,agriculture partly_cloudy road
train_25759,agriculture partly_cloudy road water
train_35554,agriculture partly_cloudy water
train_3415,artisinal_mine bare_ground clear habitation primary road water
train_39802,artisinal_mine bare_ground clear habitation road
train_28778,artisinal_mine bare_ground clear primary
train_11035,artisinal_mine bare_ground clear primary road water
train_34881,artisinal_mine bare_ground clear primary selective_logging water
train_38867,artisinal_mine bare_ground clear primary water
train_11536,artisinal_mine bare_ground clear road water
train_26945,artisinal_mine bare_ground clear water
train_16985,artisinal_mine bare_ground partly_cloudy primary road
train_19501,artisinal_mine bare_ground partly_cloudy primary road water
train_33866,artisinal_mine bare_ground partly_cloudy primary water
train_17948,artisinal_mine clear conventional_mine habitation primary road water
train_28973,artisinal_mine clear conventional_mine primary road water
train_18077,artisinal_mine clear cultivation primary road water
train_17278,artisinal_mine clear cultivation primary water
train_3991,artisinal_mine clear habitation primary road
train_20785,artisinal_mine clear habitation primary road water
train_31556,artisinal_mine clear habitation primary water
train_39157,artisinal_mine clear primary
train_187,artisinal_mine clear primary road
train_997,artisinal_mine clear primary road selective_logging water
train_17838,artisinal_mine clear primary road water
train_23947,artisinal_mine clear primary selective_logging
train_32803,artisinal_mine clear primary selective_logging water
train_17036,artisinal_mine clear primary water
train_16725,artisinal_mine clear road water
train_37154,artisinal_mine clear water
train_39031,artisinal_mine habitation partly_cloudy primary road water
train_5178,artisinal_mine haze primary
train_18469,artisinal_mine haze primary water
train_28849,artisinal_mine partly_cloudy primary
train_14660,artisinal_mine partly_cloudy primary road
