image_name,tags
train_1016,clear primary road
train_12125,clear primary
train_20837,agriculture clear primary road
train_39069,clear primary water
train_21186,cloudy
train_5609,agriculture cultivation haze primary
train_32964,agriculture clear primary
train_3082,clear primary
train_13985,clear primary
train_10588,partly_cloudy primary water
train_772,clear primary
train_29190,agriculture clear primary road
train_30569,clear primary
train_4514,clear cultivation primary slash_burn
train_13383,clear primary
train_17704,haze primary
train_34989,clear primary
train_33490,partly_cloudy primary
train_26346,agriculture partly_cloudy primary road
train_23311,agriculture cultivation haze primary
train_30627,clear primary road selective_logging
train_28198,clear primary
train_33029,agriculture clear habitation primary road
train_6869,clear cultivation primary slash_burn
train_26172,clear primary
train_12447,clear primary water
train_35230,agriculture clear primary road
train_8751,agriculture clear cultivation primary
train_14267,clear primary
train_12632,cloudy
train_21868,cloudy
train_16986,clear primary
train_40160,clear primary
train_35190,clear primary road water
train_10198,clear primary
train_3208,haze primary
train_2867,clear primary
train_24149,clear primary
train_32513,cloudy
train_1592,cultivation haze primary
train_17863,agriculture clear primary road
train_8313,agriculture clear habitation primary slash_burn
train_4992,clear primary road water
train_6537,agriculture clear habitation primary road
train_14555,agriculture haze primary
train_14740,haze primary water
train_2879,clear primary water
train_23265,cloudy
train_21411,partly_cloudy primary
train_28615,clear primary
train_2277,blooming clear primary
train_36230,clear primary
train_11503,clear primary
train_6778,clear primary
train_6020,clear habitation primary road
train_5752,clear primary
train_22586,haze primary
train_29931,clear primary water
train_27886,partly_cloudy primary
train_31735,clear primary
train_10552,cloudy
train_30232,agriculture clear primary road
train_34464,agriculture clear habitation primary road
train_39867,agriculture clear habitation primary water
train_8278,agriculture clear primary road
train_23790,agriculture bare_ground clear habitation road
train_32708,clear primary selective_logging
train_21803,partly_cloudy primary water
train_36795,haze primary water
train_34361,clear primary
train_2860,agriculture clear cultivation primary road
train_7690,clear primary
train_328,agriculture partly_cloudy primary road
train_19687,agriculture cultivation haze primary
train_11890,agriculture clear cultivation habitation primary
train_9244,clear cultivation primary
train_32999,clear primary
train_23279,agriculture cultivation habitation haze primary road
train_20118,agriculture clear primary water
train_14764,clear primary
train_36166,bare_ground clear primary road
train_7415,partly_cloudy primary
train_33736,clear primary
train_21056,clear primary
train_22852,clear primary
train_2967,clear primary water
train_31879,partly_cloudy primary
train_4883,partly_cloudy primary
train_30107,agriculture habitation partly_cloudy primary road
train_37472,agriculture clear cultivation primary road
train_33154,haze primary
train_9455,clear cultivation habitation primary
train_1471,haze primary
train_31464,clear primary water
train_11200,clear primary
train_27367,clear primary road selective_logging water
train_24844,agriculture clear habitation primary road water
train_34395,partly_cloudy primary
train_10469,clear primary
train_13677,partly_cloudy primary water
train_395,partly_cloudy primary
train_37655,agriculture partly_cloudy primary
train_3835,cloudy
train_20218,agriculture clear primary
train_38277,agriculture clear primary road
train_16692,partly_cloudy primary
train_13280,agriculture partly_cloudy primary water
train_25410,partly_cloudy primary water
train_21303,agriculture clear primary road water
train_19881,agriculture clear primary road
train_10261,clear cultivation primary
train_3139,cloudy
train_6416,clear primary
train_34983,agriculture clear habitation primary road
train_24761,partly_cloudy primary
train_38936,agriculture cultivation habitation partly_cloudy primary water
train_3262,clear cultivation primary
train_39982,clear primary
train_20191,clear primary
train_18166,clear primary
train_8569,agriculture clear cultivation primary road
train_38828,agriculture clear habitation primary road
train_1718,agriculture clear primary
train_13965,clear cultivation primary selective_logging water
train_36348,agriculture clear primary
train_22729,agriculture clear primary road water
train_28929,agriculture partly_cloudy primary
train_31918,agriculture clear conventional_mine cultivation habitation primary
train_38484,bare_ground clear
train_29448,partly_cloudy primary water
train_19908,clear primary
train_6682,partly_cloudy primary
train_6749,agriculture partly_cloudy primary road
train_34094,agriculture clear primary road water
train_35873,agriculture clear cultivation primary
train_22650,partly_cloudy primary
train_20764,haze primary
train_1076,agriculture clear primary
train_39356,clear primary
train_35071,partly_cloudy primary
train_37001,clear habitation primary water
train_12036,agriculture habitation partly_cloudy primary water
train_20612,cloudy
train_30804,agriculture clear habitation primary road
train_20751,agriculture clear primary
train_15795,agriculture partly_cloudy primary water
train_35561,agriculture clear road
train_1130,agriculture clear habitation primary road water
train_11971,agriculture clear primary
train_17380,clear water
train_10968,clear cultivation primary
train_25898,clear primary water
train_25202,clear primary
train_494,clear primary
train_10941,agriculture clear habitation primary road
train_7311,agriculture cultivation haze primary
train_24574,agriculture clear primary road
train_31032,clear primary
train_30228,clear primary water
train_9745,haze primary
train_4302,agriculture clear primary
train_31484,agriculture clear primary water
train_2527,agriculture clear primary
train_1911,clear primary
train_33971,clear primary
train_31368,cloudy
train_4566,agriculture clear primary
train_34269,agriculture clear primary
train_26432,agriculture clear primary water
train_27563,clear primary
train_19066,haze primary
train_38427,agriculture clear primary
train_5230,clear primary
train_33494,agriculture clear primary
train_40410,clear cultivation primary
train_17310,partly_cloudy primary
train_37561,clear primary
train_4636,clear primary
train_6025,clear primary
train_5945,clear primary
train_39454,agriculture clear cultivation primary road
train_16930,partly_cloudy primary
train_30262,cloudy
train_381,agriculture clear cultivation habitation primary road
train_14334,clear cultivation habitation primary slash_burn water
train_19712,agriculture clear primary
train_3706,clear primary
train_11344,agriculture clear primary road
train_35556,agriculture clear primary
train_16,clear primary
train_37201,clear primary
train_40257,partly_cloudy primary
train_28370,agriculture clear primary water
train_28133,partly_cloudy primary
train_33342,haze primary road
train_1962,agriculture haze primary water
train_3557,clear primary
train_20229,clear primary
train_16400,agriculture clear primary
train_31355,partly_cloudy primary
train_11967,agriculture clear cultivation primary
train_40244,agriculture clear primary water
train_11805,cloudy
train_39769,agriculture clear primary
train_7969,agriculture partly_cloudy primary water
train_26085,clear primary
train_19140,clear primary
train_25650,agriculture clear habitation primary road
train_164,clear primary
train_11486,cloudy
train_8769,clear primary
train_23736,clear primary
train_9134,agriculture partly_cloudy primary road
train_6774,clear primary
train_29164,agriculture clear cultivation primary road
train_28415,clear habitation primary road water
train_36728,partly_cloudy primary
train_9783,cloudy
train_5971,cultivation partly_cloudy primary water
train_32459,agriculture clear cultivation primary
train_21134,clear primary
train_12048,clear habitation primary
train_35138,bare_ground clear
train_3782,agriculture clear cultivation primary road water
train_10486,agriculture clear primary
train_37610,clear primary
train_13440,agriculture partly_cloudy primary road
train_24208,partly_cloudy primary
train_38853,agriculture partly_cloudy primary road
train_35696,clear primary
train_30514,cloudy
train_12676,partly_cloudy primary
train_16193,agriculture clear habitation primary road
train_37416,clear primary
train_38020,clear primary
train_24528,clear primary
train_22489,clear primary
train_32981,clear primary
train_3094,clear primary
train_23931,agriculture clear primary
train_34399,agriculture clear habitation primary road water
train_23653,partly_cloudy primary
train_665,agriculture clear cultivation primary road water
train_6001,agriculture haze primary
train_37605,clear primary
train_16707,partly_cloudy primary
train_26026,agriculture clear cultivation primary
train_13751,bare_ground clear primary
train_15895,agriculture clear primary road
train_3502,clear primary
train_8911,clear primary
train_18809,agriculture haze primary road
train_8151,clear primary
train_25070,agriculture bare_ground clear primary road
train_12933,partly_cloudy primary water
train_28375,clear primary
train_35752,clear primary
train_12099,clear primary
train_5717,clear primary road
train_7696,agriculture clear primary water
train_18587,clear primary
train_34022,clear primary
train_7116,clear primary
train_6369,artisinal_mine clear primary road water
train_7909,agriculture clear cultivation primary
train_31118,agriculture clear habitation primary
train_21279,clear primary road water
train_24532,agriculture clear cultivation primary
train_33142,agriculture clear primary water
train_2494,agriculture clear primary
train_35395,agriculture clear primary
train_8289,clear primary water
train_28936,cloudy
train_37671,clear primary
train_11308,clear primary
train_37716,partly_cloudy primary
train_24515,clear primary water
train_14474,clear primary
train_36426,clear primary
train_17166,agriculture cultivation partly_cloudy primary
train_39506,agriculture clear primary water
train_19516,clear cultivation primary
train_25294,clear primary
train_26109,clear primary
train_9215,clear primary
train_35782,agriculture clear primary
train_15064,agriculture clear primary
train_36090,agriculture clear primary
train_4137,clear primary water
train_17269,cloudy
train_12080,clear primary water
train_8993,clear cultivation primary slash_burn
train_38100,clear primary
train_8696,clear primary
train_18773,agriculture clear primary water
train_27968,clear water
train_7042,cloudy
train_28142,agriculture clear cultivation primary
train_23599,clear primary
train_32855,clear cultivation primary water
train_1395,clear primary
train_7689,clear primary
train_12262,agriculture clear cultivation primary
train_11720,clear primary
train_7663,partly_cloudy primary
train_23655,clear primary
train_1977,clear primary water
train_32598,agriculture clear primary road
train_28090,clear primary
train_32169,cloudy
train_6637,agriculture bare_ground clear road
train_27737,agriculture clear cultivation primary
train_15349,clear primary
train_19194,clear cultivation primary
train_32806,agriculture clear primary
train_36729,clear primary water
train_19111,clear primary
train_20462,clear primary
train_35018,clear primary
train_27101,agriculture clear cultivation primary road water
train_14192,agriculture partly_cloudy primary road
train_1111,clear primary
train_8267,clear primary water
train_6520,cloudy
train_14261,clear primary
train_11590,clear primary
train_847,clear primary
train_18197,clear primary
train_5997,clear primary
train_17288,haze primary
train_5352,partly_cloudy primary
train_29826,agriculture clear primary road
train_23288,clear cultivation primary
train_32669,clear primary
train_25754,agriculture clear primary
train_3451,agriculture clear primary water
train_20111,clear primary
train_35014,clear primary
train_10677,agriculture clear habitation primary road
train_6816,cloudy
train_10147,clear primary
train_30779,bare_ground clear primary
train_35862,clear primary
train_39538,clear primary road water
train_35808,agriculture partly_cloudy primary road
train_6058,agriculture clear cultivation primary
train_35021,clear primary
train_6043,bare_ground clear primary water
train_19203,partly_cloudy primary
train_32810,clear primary
train_27066,agriculture clear primary
train_35684,agriculture clear primary
train_23256,clear primary
train_30062,clear primary
train_36762,agriculture cultivation partly_cloudy primary
train_38107,clear primary
train_26273,clear primary
train_18832,clear primary
train_701,agriculture clear habitation primary water
train_28530,clear habitation primary water
train_35767,clear primary
train_33455,clear primary
train_1118,clear primary
train_5925,cloudy
train_28404,partly_cloudy primary
train_8215,agriculture clear cultivation habitation primary
train_14046,clear conventional_mine primary
train_38059,agriculture partly_cloudy primary road
train_37269,bare_ground clear cultivation primary water
train_28358,clear primary
train_15173,clear primary water
train_25221,clear primary water
train_35905,clear cultivation primary slash_burn
train_25697,agriculture clear habitation primary road water
train_7352,agriculture clear primary
train_32476,partly_cloudy primary
train_35724,agriculture clear primary
train_31966,cloudy
train_36872,haze primary
train_32555,partly_cloudy primary
train_254,clear primary
train_16803,clear primary
train_2535,agriculture clear cultivation primary water
train_12976,bare_ground clear primary
train_19388,partly_cloudy primary
train_26215,agriculture clear habitation primary road
train_8077,clear primary water
train_30982,clear primary
train_31939,cloudy
train_32760,clear primary
train_7650,haze primary
train_5713,clear primary
train_16827,clear primary
train_4474,agriculture clear habitation primary
train_12132,agriculture clear primary
train_26760,clear primary
train_36969,haze primary
train_8700,clear primary
train_31123,clear primary
train_23628,clear primary
train_11217,clear primary
train_25839,agriculture clear primary road
train_10238,clear primary
train_2018,clear cultivation primary
train_5876,cloudy
train_14860,partly_cloudy primary
train_31973,clear habitation primary road
train_37235,clear primary road water
train_10082,agriculture clear primary road
train_36814,partly_cloudy primary water
train_5769,agriculture cultivation partly_cloudy primary
