image_name,tags
train_12125,clear primary
train_21186,cloudy
train_3082,clear primary
train_13985,clear primary
train_772,clear primary
train_30569,clear primary
train_13383,clear primary
train_17704,haze primary
train_34989,clear primary
train_33490,partly_cloudy primary
train_28198,clear primary
train_26172,clear primary
train_14267,clear primary
train_12632,cloudy
train_21868,cloudy
train_16986,clear primary
train_40160,clear primary
train_10198,clear primary
train_3208,haze primary
train_2867,clear primary
train_24149,clear primary
train_32513,cloudy
train_23265,cloudy
train_21411,partly_cloudy primary
train_28615,clear primary
train_36230,clear primary
train_11503,clear primary
train_6778,clear primary
train_5752,clear primary
train_22586,haze primary
train_27886,partly_cloudy primary
train_31735,clear primary
train_10552,cloudy
train_34361,clear primary
train_7690,clear primary
train_32999,clear primary
train_14764,clear primary
train_7415,partly_cloudy primary
train_33736,clear primary
train_21056,clear primary
train_22852,clear primary
train_31879,partly_cloudy primary
train_4883,partly_cloudy primary
train_33154,haze primary
train_1471,haze primary
train_11200,clear primary
train_34395,partly_cloudy primary
train_10469,clear primary
train_395,partly_cloudy primary
train_3835,cloudy
train_16692,partly_cloudy primary
train_3139,cloudy
train_6416,clear primary
train_24761,partly_cloudy primary
train_39982,clear primary
train_20191,clear primary
train_18166,clear primary
train_38484,bare_ground clear
train_19908,clear primary
train_6682,partly_cloudy primary
train_22650,partly_cloudy primary
train_20764,haze primary
train_39356,clear primary
train_35071,partly_cloudy primary
train_20612,cloudy
train_17380,clear water
train_25202,clear primary
train_494,clear primary
train_31032,clear primary
train_9745,haze primary
train_1911,clear primary
train_33971,clear primary
train_31368,cloudy
train_27563,clear primary
train_19066,haze primary
train_5230,clear primary
train_17310,partly_cloudy primary
train_37561,clear primary
train_4636,clear primary
train_6025,clear primary
train_5945,clear primary
train_16930,partly_cloudy primary
train_30262,cloudy
train_3706,clear primary
train_16,clear primary
train_37201,clear primary
train_40257,partly_cloudy primary
train_28133,partly_cloudy primary
train_3557,clear primary
train_20229,clear primary
train_31355,partly_cloudy primary
train_11805,cloudy
train_26085,clear primary
train_19140,clear primary
train_164,clear primary
train_11486,cloudy
train_8769,clear primary
train_23736,clear primary
train_6774,clear primary
train_36728,partly_cloudy primary
train_9783,cloudy
train_21134,clear primary
train_35138,bare_ground clear
train_37610,clear primary
train_24208,partly_cloudy primary
train_35696,clear primary
train_30514,cloudy
train_12676,partly_cloudy primary
train_37416,clear primary
train_38020,clear primary
train_24528,clear primary
train_22489,clear primary
train_32981,clear primary
train_3094,clear primary
train_23653,partly_cloudy primary
train_37605,clear primary
train_16707,partly_cloudy primary
train_3502,clear primary
train_8911,clear primary
train_8151,clear primary
train_28375,clear primary
train_35752,clear primary
train_12099,clear primary
train_18587,clear primary
train_34022,clear primary
train_7116,clear primary
train_28936,cloudy
train_37671,clear primary
train_11308,clear primary
train_37716,partly_cloudy primary
train_14474,clear primary
train_36426,clear primary
train_25294,clear primary
train_26109,clear primary
train_9215,clear primary
train_17269,cloudy
train_38100,clear primary
train_8696,clear primary
train_27968,clear water
train_7042,cloudy
train_23599,clear primary
train_1395,clear primary
train_7689,clear primary
train_11720,clear primary
train_7663,partly_cloudy primary
train_23655,clear primary
train_28090,clear primary
train_32169,cloudy
train_15349,clear primary
train_19111,clear primary
train_20462,clear primary
train_35018,clear primary
train_1111,clear primary
train_6520,cloudy
train_14261,clear primary
train_11590,clear primary
train_847,clear primary
train_18197,clear primary
train_5997,clear primary
train_17288,haze primary
train_5352,partly_cloudy primary
train_32669,clear primary
train_20111,clear primary
train_35014,clear primary
train_6816,cloudy
train_10147,clear primary
train_35862,clear primary
train_35021,clear primary
train_19203,partly_cloudy primary
train_32810,clear primary
train_23256,clear primary
train_30062,clear primary
train_38107,clear primary
train_26273,clear primary
train_18832,clear primary
train_35767,clear primary
train_33455,clear primary
train_1118,clear primary
train_5925,cloudy
train_28404,partly_cloudy primary
train_28358,clear primary
train_32476,partly_cloudy primary
train_31966,cloudy
train_36872,haze primary
train_32555,partly_cloudy primary
train_254,clear primary
train_16803,clear primary
train_19388,partly_cloudy primary
train_30982,clear primary
train_31939,cloudy
train_32760,clear primary
train_7650,haze primary
train_5713,clear primary
train_16827,clear primary
train_26760,clear primary
train_36969,haze primary
train_8700,clear primary
train_31123,clear primary
train_23628,clear primary
train_11217,clear primary
train_10238,clear primary
train_5876,cloudy
train_14860,partly_cloudy primary
train_24017,haze primary
train_36011,partly_cloudy primary
train_12570,clear water
train_34715,clear primary
train_27495,clear primary
train_35746,haze primary
train_35679,clear primary
train_16781,partly_cloudy primary
train_36367,partly_cloudy primary
train_19610,clear primary
train_8341,clear primary
train_37878,clear primary
train_22189,clear primary
train_38068,clear primary
train_19920,clear primary
train_34048,clear primary
train_20004,clear primary
train_38126,clear primary
train_22735,clear primary
train_2000,haze primary
train_1018,clear primary
train_29761,clear primary
train_38016,clear primary
train_11891,clear primary
train_39835,partly_cloudy water
train_25695,clear primary
train_7817,clear primary
train_37193,clear primary
train_28995,haze primary
train_35487,clear primary
train_22451,clear primary
train_8698,partly_cloudy primary
train_2840,clear primary
train_615,clear primary
train_4418,clear primary
train_9158,clear primary
train_26187,clear primary
train_23912,clear primary
train_17016,cloudy
train_30119,clear primary
train_23231,clear primary
train_31384,cloudy
train_460,haze primary
train_27158,clear primary
train_23745,clear primary
train_25104,haze primary
train_33059,clear primary
train_37923,clear primary
train_5267,clear primary
train_4176,clear primary
train_20836,clear primary
train_39138,clear primary
train_13371,partly_cloudy primary
train_24988,clear primary
train_8555,clear primary
train_31223,partly_cloudy primary
train_15413,haze primary
train_21211,clear primary
train_24444,clear primary
train_26470,partly_cloudy primary
train_2868,clear primary
train_28694,clear primary
train_20810,clear primary
train_27757,clear primary
train_39150,clear primary
train_37490,clear primary
train_21062,clear primary
train_32143,clear primary
train_26815,clear primary
train_31217,partly_cloudy primary
train_16597,partly_cloudy primary
train_11130,clear primary
train_9016,clear primary
train_18763,haze primary
train_22472,haze primary
train_32179,clear primary
train_39314,clear primary
train_11501,clear primary
train_11043,clear primary
train_10659,haze primary
train_25997,clear primary
train_12807,clear primary
train_20074,clear primary
train_9845,clear water
train_2262,cloudy
train_37,partly_cloudy primary
train_4567,clear primary
train_38196,clear primary
train_2654,partly_cloudy primary
train_10245,clear primary
train_28788,clear primary
train_12952,partly_cloudy primary
train_35176,partly_cloudy primary
train_29255,partly_cloudy primary
train_8924,clear primary
train_12797,clear primary
train_28442,clear primary
train_34266,clear primary
train_13438,clear primary
train_7516,clear primary
train_30681,haze primary
train_39411,partly_cloudy water
train_35516,cloudy
train_29822,clear primary
train_36583,clear primary
train_29028,clear primary
train_21428,clear primary
train_7891,clear primary
train_38666,clear primary
train_15964,clear primary
train_15450,clear primary
train_21189,clear primary
train_3508,clear primary
train_39364,clear primary
train_33840,haze primary
train_24514,clear primary
train_13377,clear primary
train_33639,cloudy
train_3800,bare_ground clear
train_34798,clear primary
train_17390,clear primary
train_6681,cloudy
train_29807,partly_cloudy primary
train_38382,partly_cloudy primary
train_31527,cloudy
train_12520,clear primary
train_18987,clear primary
train_21379,clear primary
train_18201,clear primary
train_21430,clear primary
train_14573,partly_cloudy primary
train_25775,clear primary
train_22760,clear primary
train_27156,clear primary
train_32690,partly_cloudy primary
train_11191,cloudy
train_23245,clear primary
train_35946,clear primary
train_4746,haze primary
train_38757,cloudy
train_9380,cloudy
train_37479,clear primary
train_35920,clear primary
train_2396,cloudy
train_20809,clear primary
train_9883,partly_cloudy primary
train_1227,clear primary
train_29434,haze primary
train_28779,clear primary
train_24821,clear primary
train_21750,cloudy
train_37096,clear primary
train_2895,clear primary
train_20843,clear primary
train_30425,haze primary
train_16644,cloudy
train_19858,cloudy
train_10546,partly_cloudy primary
train_27543,partly_cloudy primary
train_24404,partly_cloudy primary
train_11305,cloudy
train_30360,clear primary
train_28348,clear primary
train_4970,clear primary
train_38306,clear primary
train_34604,clear primary
train_11315,clear primary
train_29748,clear primary
train_8853,haze primary
train_25783,clear primary
train_8706,clear primary
train_32109,clear primary
train_19793,clear primary
train_30174,partly_cloudy primary
train_37789,clear primary
train_29253,partly_cloudy primary
train_35152,clear primary
train_2140,clear primary
train_3036,cloudy
train_17679,clear primary
train_8272,haze primary
train_29787,haze primary
train_35388,clear primary
train_25137,clear primary
train_13203,clear primary
train_4928,clear primary
train_15876,clear primary
train_14809,clear primary
train_12793,clear primary
train_38305,clear primary
train_30974,clear primary
train_985,clear primary
train_14937,clear primary
train_38214,clear primary
train_14692,haze primary
train_33876,partly_cloudy primary
train_36193,clear primary
train_19504,cloudy
train_18223,cloudy
train_26491,clear primary
train_38656,partly_cloudy primary
train_1422,clear primary
train_33923,partly_cloudy primary
train_808,clear primary
train_33929,partly_cloudy primary
train_25278,clear primary
train_14237,bare_ground clear
train_20066,clear primary
train_2362,clear primary
train_34526,clear primary
train_26210,partly_cloudy primary
train_12755,clear primary
train_2453,haze primary
train_38784,clear primary
train_10682,clear primary
train_38565,clear primary
train_20876,clear primary
train_26151,clear primary
train_7038,clear primary
train_21861,partly_cloudy primary
train_40359,haze primary
train_19272,clear water
train_13190,clear primary
train_19116,haze primary
train_34467,clear primary
train_1654,clear primary
train_34817,clear primary
train_34738,partly_cloudy primary
train_26047,clear primary
train_18054,clear primary
train_11326,cloudy
train_13241,partly_cloudy primary
train_24981,clear primary
train_27736,partly_cloudy primary
train_17242,clear primary
train_35893,clear primary
train_14306,clear primary
train_23877,cloudy
train_1996,cloudy
train_32204,clear primary
train_9982,clear primary
train_38748,clear primary
train_7946,clear primary
train_10145,clear primary
train_10865,clear primary
train_29566,partly_cloudy primary
train_10664,haze primary
train_35841,clear primary
train_17034,haze primary
train_22397,clear primary
train_31531,haze primary
train_32936,cloudy
train_24016,clear primary
train_15235,clear primary
train_26007,clear water
train_9273,haze primary
train_3188,partly_cloudy primary
train_6652,haze primary
train_9944,haze primary
train_36715,partly_cloudy primary
train_22117,partly_cloudy primary
train_21758,partly_cloudy primary
train_8758,clear primary
train_8397,clear primary
train_14846,partly_cloudy primary
train_25029,cloudy
train_22881,clear primary
train_24643,clear primary
train_25547,clear primary
train_13263,clear primary
train_5772,haze primary
train_26736,clear primary
train_579,partly_cloudy primary
train_12033,clear primary
train_18461,clear primary
train_9372,clear primary
train_34697,clear primary
train_34249,cloudy
train_20884,partly_cloudy primary
train_21804,cloudy
train_11423,clear primary
train_18238,clear primary
train_24648,haze primary
train_15488,clear primary
train_24553,clear primary
train_31795,clear primary
train_16585,clear primary
train_27744,clear primary
train_4325,partly_cloudy primary
train_28528,partly_cloudy primary
train_31815,clear primary
train_26363,clear primary
train_25178,clear primary
train_27871,cloudy
train_24270,cloudy
train_17129,clear primary
train_14173,clear primary
train_39824,partly_cloudy primary
train_28855,clear primary
train_36936,clear primary
train_23138,clear primary
train_24997,clear primary
train_2944,clear primary
train_28917,clear primary
train_19104,partly_cloudy primary
train_20855,partly_cloudy primary
train_24697,clear primary
train_1541,clear primary
train_28414,haze primary
train_23060,clear primary
train_24001,cloudy
train_1052,clear primary
train_1707,cloudy
train_14552,clear primary
train_30925,clear primary
train_20284,haze primary
train_9533,partly_cloudy primary
train_4394,cloudy
train_28051,clear primary
train_6355,partly_cloudy primary
train_7312,partly_cloudy primary
train_19507,clear primary
train_32124,clear primary
train_40038,clear primary
train_35797,haze primary
train_22192,clear primary
train_27348,clear primary
train_18305,partly_cloudy primary
train_23823,clear primary
train_6708,partly_cloudy primary
train_2088,partly_cloudy primary
train_24100,haze primary
train_14921,clear primary
train_1739,haze primary
train_13597,clear primary
train_9666,clear primary
train_32031,partly_cloudy primary
train_29594,clear primary
train_24325,partly_cloudy primary
train_31927,clear primary
train_37186,partly_cloudy primary
train_34480,clear primary
train_22773,cloudy
train_13068,clear primary
train_15992,clear primary
train_14398,partly_cloudy primary
train_2126,haze primary
train_3656,clear primary
train_13034,clear primary
train_19934,clear primary
train_27594,clear primary
train_22004,agriculture clear
train_11944,clear primary
train_32881,clear primary
train_20682,partly_cloudy primary
train_14873,clear primary
train_25056,clear primary
train_22351,clear primary
train_36250,partly_cloudy primary
train_18033,clear primary
train_32497,cloudy
train_34168,clear primary
train_7665,clear primary
train_36199,cloudy
train_16177,partly_cloudy primary
train_32222,clear primary
train_34189,clear primary
train_18698,clear primary
train_6891,cloudy
train_6400,clear primary
